,name,wins,ties,total_games,winrate
"AS, AH, AD",A trail,360,0,360,1.0
"AC, AS, AH",A trail,321,0,321,1.0
"AS, AC, AD",A trail,368,0,368,1.0
"AC, AH, AD",A trail,342,0,342,1.0
"KD, KS, KH",K trail,316,0,316,1.0
"KS, KH, KC",K trail,294,0,296,0.9932
"KD, KS, KC",K trail,341,0,341,1.0
"KD, KH, KC",K trail,314,0,315,0.9968
"QS, QH, QD",Q trail,342,0,343,0.9971
"QS, QH, QC",Q trail,336,0,336,1.0
"QS, QC, QD",Q trail,330,0,330,1.0
"QD, QH, QC",Q trail,340,0,340,1.0
"JH, JS, JD",J trail,326,0,327,0.9969
"JH, JS, JC",J trail,358,0,359,0.9972
"JS, JD, JC",J trail,326,0,326,1.0
"JH, JC, JD",J trail,358,0,359,0.9972
"10S, 10D, 10H",10 trail,369,0,372,0.9919
"10S, 10C, 10H",10 trail,312,0,312,1.0
"10S, 10C, 10D",10 trail,348,0,351,0.9915
"10C, 10D, 10H",10 trail,331,0,331,1.0
"9S, 9H, 9D",9 trail,346,0,348,0.9943
"9S, 9C, 9H",9 trail,334,0,336,0.994
"9S, 9C, 9D",9 trail,353,0,354,0.9972
"9C, 9H, 9D",9 trail,381,0,382,0.9974
"8S, 8H, 8D",8 trail,323,0,323,1.0
"8S, 8H, 8C",8 trail,321,0,322,0.9969
"8S, 8C, 8D",8 trail,305,0,306,0.9967
"8H, 8C, 8D",8 trail,338,0,343,0.9854
"7S, 7H, 7D",7 trail,338,0,340,0.9941
"7S, 7H, 7C",7 trail,340,0,342,0.9942
"7S, 7C, 7D",7 trail,301,0,301,1.0
"7H, 7C, 7D",7 trail,319,0,324,0.9846
"6S, 6D, 6H",6 trail,364,0,367,0.9918
"6S, 6C, 6H",6 trail,346,0,348,0.9943
"6S, 6C, 6D",6 trail,358,0,362,0.989
"6C, 6D, 6H",6 trail,327,0,329,0.9939
"5H, 5S, 5D",5 trail,328,0,329,0.997
"5H, 5S, 5C",5 trail,338,0,341,0.9912
"5S, 5D, 5C",5 trail,353,0,357,0.9888
"5H, 5D, 5C",5 trail,317,0,317,1.0
"4H, 4D, 4S",4 trail,320,0,321,0.9969
"4H, 4C, 4S",4 trail,315,0,317,0.9937
"4C, 4S, 4D",4 trail,329,0,330,0.997
"4C, 4H, 4D",4 trail,328,0,330,0.9939
"3H, 3S, 3D",3 trail,329,0,331,0.994
"3H, 3C, 3S",3 trail,373,0,376,0.992
"3C, 3D, 3S",3 trail,327,0,329,0.9939
"3H, 3C, 3D",3 trail,324,0,326,0.9939
"2D, 2S, 2H",2 trail,341,0,345,0.9884
"2C, 2S, 2H",2 trail,300,0,301,0.9967
"2D, 2C, 2S",2 trail,351,0,358,0.9804
"2D, 2C, 2H",2 trail,329,0,329,1.0
"KS, QS, AS",A-K-Q straight flush,323,1,326,0.9908
"KH, QH, AH",A-K-Q straight flush,349,0,352,0.9915
"KD, QD, AD",A-K-Q straight flush,339,1,345,0.9826
"QC, AC, KC",A-K-Q straight flush,329,0,334,0.985
"2S, 3S, AS",A-2-3 straight flush,344,1,351,0.9801
"3H, 2H, AH",A-2-3 straight flush,361,1,367,0.9837
"2D, 3D, AD",A-2-3 straight flush,360,0,364,0.989
"2C, 3C, AC",A-2-3 straight flush,320,0,322,0.9938
"KS, JS, QS",K-Q-J straight flush,339,0,346,0.9798
"JH, KH, QH",K-Q-J straight flush,375,0,377,0.9947
"KD, QD, JD",K-Q-J straight flush,346,0,351,0.9858
"JC, QC, KC",K-Q-J straight flush,349,0,355,0.9831
"10S, QS, JS",Q-J-10 straight flush,317,0,320,0.9906
"JH, QH, 10H",Q-J-10 straight flush,336,0,340,0.9882
"QD, JD, 10D",Q-J-10 straight flush,304,0,310,0.9806
"10C, JC, QC",Q-J-10 straight flush,378,0,380,0.9947
"9S, JS, 10S",J-10-9 straight flush,344,1,349,0.9857
"JH, 9H, 10H",J-10-9 straight flush,333,2,341,0.9765
"JD, 10D, 9D",J-10-9 straight flush,333,1,337,0.9881
"9C, JC, 10C",J-10-9 straight flush,352,0,356,0.9888
"9S, 8S, 10S",10-9-8 straight flush,346,0,350,0.9886
"8H, 9H, 10H",10-9-8 straight flush,356,0,362,0.9834
"10D, 9D, 8D",10-9-8 straight flush,327,0,331,0.9879
"9C, 8C, 10C",10-9-8 straight flush,323,0,325,0.9938
"9S, 7S, 8S",9-8-7 straight flush,324,0,328,0.9878
"8H, 9H, 7H",9-8-7 straight flush,359,0,360,0.9972
"9D, 8D, 7D",9-8-7 straight flush,309,0,312,0.9904
