,name,wins,ties,total_games,winrate
"AH, AD, AS",A trail,1767,0,1767,1.0
"AH, AC, AS",A trail,1789,0,1789,1.0
"AC, AD, AS",A trail,1859,0,1859,1.0
"AH, AC, AD",A trail,1808,0,1808,1.0
"KS, KH, KD",K trail,1773,0,1774,0.9994
"KS, KH, KC",K trail,1803,0,1803,1.0
"KS, KC, KD",K trail,1818,0,1820,0.9989
"KH, KC, KD",K trail,1796,0,1799,0.9983
"QS, QD, QH",Q trail,1791,0,1796,0.9972
"QS, QC, QH",Q trail,1780,0,1782,0.9989
"QS, QD, QC",Q trail,1839,0,1840,0.9995
"QD, QC, QH",Q trail,1767,0,1769,0.9989
"JS, JD, JH",J trail,1765,0,1770,0.9972
"JS, JH, JC",J trail,1825,0,1829,0.9978
"JS, JD, JC",J trail,1815,0,1819,0.9978
"JD, JH, JC",J trail,1810,0,1810,1.0
"10S, 10D, 10H",10 trail,1832,0,1837,0.9973
"10S, 10C, 10H",10 trail,1854,0,1857,0.9984
"10S, 10C, 10D",10 trail,1817,0,1820,0.9984
"10C, 10D, 10H",10 trail,1791,0,1798,0.9961
"9S, 9H, 9D",9 trail,1801,0,1803,0.9989
"9S, 9C, 9H",9 trail,1862,0,1868,0.9968
"9S, 9C, 9D",9 trail,1828,0,1836,0.9956
"9C, 9H, 9D",9 trail,1842,0,1846,0.9978
"8H, 8D, 8S",8 trail,1824,0,1832,0.9956
"8H, 8S, 8C",8 trail,1832,0,1845,0.993
"8D, 8S, 8C",8 trail,1843,0,1853,0.9946
"8H, 8D, 8C",8 trail,1812,0,1817,0.9972
"7S, 7D, 7H",7 trail,1818,0,1828,0.9945
"7S, 7C, 7H",7 trail,1808,0,1815,0.9961
"7S, 7C, 7D",7 trail,1820,0,1826,0.9967
"7C, 7D, 7H",7 trail,1815,0,1828,0.9929
"6S, 6D, 6H",6 trail,1797,0,1806,0.995
"6S, 6C, 6H",6 trail,1820,0,1830,0.9945
"6S, 6C, 6D",6 trail,1832,0,1840,0.9957
"6D, 6C, 6H",6 trail,1786,0,1798,0.9933
"5S, 5H, 5D",5 trail,1732,0,1742,0.9943
"5S, 5H, 5C",5 trail,1732,0,1744,0.9931
"5S, 5C, 5D",5 trail,1753,0,1764,0.9938
"5H, 5C, 5D",5 trail,1823,0,1831,0.9956
"4H, 4S, 4D",4 trail,1807,0,1819,0.9934
"4H, 4S, 4C",4 trail,1780,0,1790,0.9944
"4C, 4S, 4D",4 trail,1853,0,1865,0.9936
"4H, 4D, 4C",4 trail,1794,0,1814,0.989
"3D, 3S, 3H",3 trail,1797,0,1811,0.9923
"3C, 3S, 3H",3 trail,1764,0,1782,0.9899
"3C, 3D, 3S",3 trail,1771,0,1784,0.9927
"3C, 3D, 3H",3 trail,1801,0,1816,0.9917
"2H, 2D, 2S",2 trail,1854,0,1862,0.9957
"2H, 2S, 2C",2 trail,1785,0,1800,0.9917
"2D, 2S, 2C",2 trail,1814,0,1824,0.9945
"2H, 2D, 2C",2 trail,1761,0,1777,0.991
"KS, QS, AS",A-K-Q straight flush,1814,0,1824,0.9945
"AH, KH, QH",A-K-Q straight flush,1851,0,1863,0.9936
"QD, KD, AD",A-K-Q straight flush,1836,1,1850,0.9924
"QC, AC, KC",A-K-Q straight flush,1765,1,1780,0.9916
"2S, 3S, AS",A-2-3 straight flush,1785,3,1797,0.9933
"2H, AH, 3H",A-2-3 straight flush,1753,0,1767,0.9921
"3D, 2D, AD",A-2-3 straight flush,1800,2,1818,0.9901
"3C, AC, 2C",A-2-3 straight flush,1796,1,1820,0.9868
"KS, QS, JS",K-Q-J straight flush,1836,1,1852,0.9914
"KH, QH, JH",K-Q-J straight flush,1764,1,1778,0.9921
"QD, JD, KD",K-Q-J straight flush,1856,1,1872,0.9915
"QC, KC, JC",K-Q-J straight flush,1693,1,1711,0.9895
"QS, 10S, JS",Q-J-10 straight flush,1781,0,1790,0.995
"10H, QH, JH",Q-J-10 straight flush,1753,0,1766,0.9926
"QD, 10D, JD",Q-J-10 straight flush,1777,0,1792,0.9916
"QC, 10C, JC",Q-J-10 straight flush,1797,0,1817,0.989
"9S, 10S, JS",J-10-9 straight flush,1806,1,1823,0.9907
"10H, JH, 9H",J-10-9 straight flush,1703,1,1725,0.9872
"10D, JD, 9D",J-10-9 straight flush,1765,3,1780,0.9916
"9C, 10C, JC",J-10-9 straight flush,1858,3,1875,0.9909
"9S, 10S, 8S",10-9-8 straight flush,1774,1,1791,0.9905
"8H, 10H, 9H",10-9-8 straight flush,1717,0,1734,0.9902
"8D, 10D, 9D",10-9-8 straight flush,1894,0,1919,0.987
"9C, 10C, 8C",10-9-8 straight flush,1786,1,1799,0.9928
"9S, 7S, 8S",9-8-7 straight flush,1831,0,1857,0.986
"8H, 9H, 7H",9-8-7 straight flush,1761,0,1778,0.9904
"8D, 7D, 9D",9-8-7 straight flush,1756,0,1780,0.9865
"7C, 9C, 8C",9-8-7 straight flush,1807,0,1835,0.9847
"6S, 7S, 8S",8-7-6 straight flush,1749,3,1768,0.9893
"8H, 6H, 7H",8-7-6 straight flush,1808,3,1833,0.9864
"8D, 6D, 7D",8-7-6 straight flush,1784,1,1812,0.9845
"7C, 6C, 8C",8-7-6 straight flush,1795,1,1814,0.9895
